,longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_household
15578,-116.9,33.03,11.0,3.475,167200.0,0,0,0,5.549222797927461
20153,-119.23,34.46,34.0,3.2026,227600.0,0,0,0,5.481393975191967
14095,-117.1,32.75,11.0,1.3448,91300.0,0,0,1,3.3656821378340367
4101,-118.38,34.14,42.0,7.7112,386700.0,0,0,0,5.59375
13072,-121.31,38.57,22.0,2.5,101600.0,1,0,0,4.916
5408,-118.45,34.03,41.0,4.0231,353900.0,0,0,0,4.330561330561331
3235,-119.57,36.09,6.0,2.3889,53200.0,1,0,0,6.316614420062696
18314,-122.12,37.43,36.0,6.46,425500.0,0,1,0,5.59581881533101
19418,-121.09,37.67,30.0,3.3482,220000.0,1,0,0,5.680412371134021
9996,-121.07,39.13,8.0,4.0848,155900.0,1,0,0,6.350393700787402
14125,-117.08,32.75,16.0,1.2347,128100.0,0,0,1,3.6666666666666665
12121,-117.28,33.92,35.0,2.1574,86900.0,1,0,0,4.7297650130548305
5768,-118.3,34.16,40.0,3.2321,243600.0,0,0,0,4.280821917808219
7971,-118.2,33.88,40.0,3.2368,136900.0,0,0,0,4.268115942028985
13903,-116.38,34.2,14.0,2.0674,65000.0,1,0,0,5.2253668763102725
16702,-120.58,35.0,37.0,1.4726,106300.0,0,0,0,5.505263157894737
7919,-118.07,33.86,31.0,3.7091,225900.0,0,0,0,6.235169491525424
20142,-119.06,34.36,52.0,1.8618,183300.0,0,0,0,4.157718120805369
1608,-122.06,37.85,17.0,3.6437,186500.0,0,1,0,5.158730158730159
15189,-117.05,33.03,16.0,4.3571,144600.0,0,0,0,4.142857142857143
6422,-118.0,34.13,24.0,3.2841,167000.0,1,0,0,5.137176938369781
18081,-122.03,37.27,25.0,10.7958,500001.0,0,0,0,7.950089126559715
15272,-117.29,33.06,20.0,6.1509,338700.0,0,0,1,6.492307692307692
10672,-117.85,33.61,14.0,7.5674,500001.0,0,0,0,6.477611940298507
18606,-122.13,37.15,39.0,3.9423,180300.0,0,0,1,5.5096525096525095
15131,-116.92,32.86,11.0,2.3693,127000.0,0,0,0,4.434607645875252
19046,-121.85,38.43,2.0,5.0862,166500.0,1,0,0,9.080459770114942
14317,-117.14,32.7,48.0,1.8008,86500.0,0,0,1,3.8636363636363638
7564,-118.19,33.89,31.0,2.1071,99500.0,0,0,0,3.5870445344129553
17698,-121.83,37.28,19.0,3.1042,183100.0,0,0,0,3.3897435897435897
12532,-121.51,38.57,36.0,2.2031,93800.0,1,0,0,4.170068027210885
13336,-117.67,34.04,13.0,3.0598,99700.0,1,0,0,4.310055865921788
2168,-119.87,36.79,8.0,3.6522,80200.0,1,0,0,5.217785843920145
11170,-117.98,33.82,34.0,4.9219,200000.0,0,0,0,5.9655172413793105
733,-122.14,37.68,35.0,4.2669999999999995,210300.0,0,1,0,5.5315985130111525
17396,-120.45,34.96,26.0,2.875,121400.0,0,0,0,5.1697612732095495
18953,-122.06,38.25,34.0,3.3598,107200.0,1,0,0,5.087947882736156
1047,-120.66,38.4,18.0,3.175,118500.0,1,0,0,5.6272965879265096
7115,-118.01,33.91,32.0,4.2305,221400.0,0,0,0,5.891774891774892
13940,-117.16,34.26,27.0,2.5446,135200.0,1,0,0,22.646341463414632
11408,-117.95,33.71,20.0,6.1092,306500.0,0,0,0,6.8161764705882355
1390,-122.12,37.99,33.0,4.675,225400.0,0,1,0,6.360153256704981
19453,-120.95,37.67,15.0,4.3864,137600.0,1,0,0,5.691449814126394
20356,-118.96,34.18,16.0,6.1306,258200.0,0,0,0,7.194954128440367
1864,-123.83,41.88,18.0,3.13,116700.0,0,0,0,5.829457364341085
10601,-117.81,33.67,8.0,7.7589,342900.0,0,0,0,6.376899696048632
12412,-116.24,33.73,14.0,3.0682,104100.0,1,0,0,5.4930693069306935
11344,-117.92,33.75,8.0,3.3629,137500.0,0,0,0,4.115044247787611
10531,-117.71,33.57,4.0,4.045,226000.0,0,0,0,5.052227342549923
15802,-122.44,37.75,28.0,4.3232,316200.0,0,1,0,3.732021196063588
18901,-122.26,38.11,52.0,1.7411,98400.0,0,1,0,5.435540069686411
6985,-118.03,33.97,36.0,4.8152,232400.0,0,0,0,5.637323943661972
11647,-118.03,33.81,26.0,5.7089,237400.0,0,0,0,6.694290976058932
12695,-121.42,38.6,23.0,1.7451,89600.0,1,0,0,3.6473477406679766
9201,-119.72,37.38,16.0,2.6071,103700.0,1,0,0,5.775067750677507
10021,-121.25,39.17,9.0,2.125,151800.0,1,0,0,5.676136363636363
7988,-118.18,33.85,38.0,3.6897,169800.0,0,0,0,4.322115384615385
18826,-122.53,41.81,21.0,1.7639,55400.0,1,0,0,5.417607223476298
12730,-121.35,38.59,29.0,5.3243,265700.0,1,0,0,6.237864077669903
19604,-121.09,37.56,32.0,2.6705,91900.0,1,0,0,5.592833876221499
17692,-121.81,37.29,15.0,6.2907,253100.0,0,0,0,5.974924774322969
5361,-118.41,34.04,52.0,11.1768,500001.0,0,0,0,6.461773700305811
47,-122.27,37.82,43.0,1.7348,137500.0,0,1,0,3.9802371541501977
18259,-122.08,37.38,36.0,5.0796,373400.0,0,1,0,6.025125628140704
4418,-118.25,34.09,52.0,3.1864,189800.0,0,0,0,4.607038123167156
982,-121.85,37.66,14.0,5.6399,300600.0,1,0,0,6.389140271493213
9987,-122.58,38.58,32.0,2.3942,183100.0,1,0,0,4.89748201438849
2490,-120.31,36.65,24.0,2.25,76600.0,1,0,0,6.044871794871795
15582,-116.74,33.33,17.0,2.4744,158200.0,1,0,0,6.225854383358098
12787,-121.44,38.63,38.0,1.6343,71000.0,1,0,0,3.670157068062827
17570,-121.94,37.32,46.0,4.8519,225800.0,0,0,0,5.470982142857143
3653,-118.43,34.22,34.0,4.2656,233700.0,0,0,0,5.054945054945055
5341,-118.44,34.04,49.0,2.1875,225000.0,0,0,0,4.571428571428571
706,-122.04,37.65,10.0,6.2579,315500.0,0,1,0,6.443322981366459
18965,-122.03,38.26,25.0,2.9576,108500.0,1,0,0,4.566765578635015
5108,-118.31,33.96,43.0,1.7469999999999999,121000.0,0,0,0,4.236
19578,-120.86,37.69,5.0,3.0809,143600.0,1,0,0,6.126954921803128
13459,-117.39,34.1,12.0,2.4492,103800.0,1,0,0,5.817004048582996
17856,-121.89,37.45,15.0,4.75,254400.0,0,0,0,4.678227360308285
6516,-118.01,34.07,22.0,2.9334,182600.0,1,0,0,4.334478021978022
16112,-122.5,37.74,44.0,3.875,275700.0,0,0,1,5.691441441441442
9977,-122.48,38.54,37.0,4.2096,256600.0,1,0,0,5.58235294117647
10567,-117.74,33.73,18.0,4.1167,87500.0,0,0,0,5.466666666666667
16826,-122.49,37.63,31.0,3.2446,234600.0,0,0,1,4.228956228956229
18003,-121.99,37.27,27.0,5.4051,273500.0,0,0,0,5.747553816046967
16032,-122.45,37.72,47.0,4.475,221200.0,0,1,0,5.628571428571429
6851,-118.15,34.07,44.0,2.4348,220700.0,0,0,0,4.868263473053892
2114,-119.75,36.76,32.0,1.3278,44500.0,1,0,0,4.408510638297872
20053,-119.46,35.86,22.0,1.505,42700.0,1,0,0,5.177514792899408
5893,-118.31,34.16,38.0,3.2112,349300.0,0,0,0,4.290676416819013
9991,-121.1,39.08,13.0,2.5887,144400.0,1,0,0,5.311004784688995
5446,-118.44,34.0,41.0,4.1083,324300.0,0,0,0,4.244565217391305
8002,-118.14,33.86,36.0,4.8571,203300.0,0,0,0,5.327327327327327
10634,-117.79,33.71,16.0,6.2162,283200.0,0,0,0,6.639658848614072
5186,-118.26,33.93,35.0,1.4917,93200.0,0,0,0,3.8472906403940885
13093,-121.37,38.55,21.0,4.5815,125500.0,1,0,0,6.165909090909091
20161,-119.29,34.37,41.0,2.5441,161200.0,0,0,1,5.333333333333333
10652,-117.77,33.55,28.0,6.7861,499100.0,0,0,0,7.386861313868613
10851,-117.9,33.66,22.0,3.1667,161000.0,0,0,0,3.8038379530916844
17387,-120.44,34.97,26.0,3.7589,113700.0,0,0,0,5.5537459283387625
3850,-118.46,34.18,35.0,3.4583,253200.0,0,0,0,4.341288782816229
17605,-121.89,37.3,46.0,5.0662,331600.0,0,0,0,6.224056603773585
9767,-121.31,36.42,21.0,2.6629,102700.0,0,0,0,4.858156028368795
16969,-122.31,37.54,42.0,3.1842,352800.0,0,0,1,4.6923076923076925
10491,-117.68,33.51,19.0,6.3229999999999995,480800.0,0,0,0,6.813953488372093
4926,-118.25,34.0,29.0,2.2813,101300.0,0,0,0,4.476340694006309
8322,-118.3,33.95,41.0,1.2455,100800.0,0,0,0,4.065217391304348
2915,-119.06,35.36,9.0,4.3482,95200.0,1,0,0,5.7924528301886795
20046,-119.01,36.06,25.0,1.6812,47700.0,1,0,0,4.192200557103064
15168,-117.06,33.02,24.0,1.9176,121100.0,0,0,0,4.23469387755102
